"Entered statistic"	"p-value"	"ppr"	"ppr half"	"pp33%"	"pp33 half"	"Z-R"	"Z-R half"	"Z-33"	"z-33 half"
"t(23)=5.72"	0.00000796777066736087	0.000159355413347217	0.000318710826694435	0.997757721931773	0.998926100497137	-3.59959692207628	-3.41517021315297	2.84189995945858	3.06899539692163
"t(23)=4.82"	0.0000729308609810353	0.00145861721962071	0.00291723443924141	0.986812336821822	0.9936840014931	-2.97632718714181	-2.75694206012691	2.2206404120725	2.49397913354681
"t(23)=6.1"	0.00000319414331961809	0.0000638828663923618	0.000127765732784724	0.998950381026959	0.999497303519436	-3.83072597533023	-3.6566514460376	3.07582104847148	3.28901323426851
"t(23)=8.8"	0.00000000804904498608039	0.000000160980899721608	0.000000321961799443216	0.999994498723008	0.999997365260486	-5.1101155721229	-4.97755538502557	4.39647003870497	4.5537627190673
"t(23)=7.33"	0.000000185955545184413	0.00000371911090368826	0.00000743822180737652	0.99990875973148	0.999956302083853	-4.48074707001982	-4.33050993119711	3.74211146470455	3.92315789699066
"t(15)=4.1"	0.000946258873932626	0.0189251774786525	0.037850354957305	0.922515278595455	0.962370937253589	-2.07647160186006	-1.77619543813856	1.42219571353139	1.77888800223343
"t(15)=5.34"	0.0000825401174064933	0.00165080234812987	0.00330160469625973	0.988615198607806	0.994471175759856	-2.93816573891442	-2.71621964594728	2.27727845326751	2.54087170961587
"t(6)=3.26"	0.0172488039651999	0.344976079303998	0.689952158607996	0.498549828114253	0.74157042159249	-0.398919990994988	0.49571474456342	-0.00363504985721302	0.648194503036734
"t(7)=0.22"	0.832149395344608	NA	NA	NA	NA	NA	NA	NA	NA
"t(11)=4.03"	0.00198199695653056	0.0396399391306113	0.0792798782612225	0.879485208225111	0.940616500971099	-1.75487975197358	-1.4099320209393	1.17241723417717	1.55996988463116
"t(11)=1.78"	0.102681010166711	NA	NA	NA	NA	NA	NA	NA	NA
"t(7)=2.95"	0.0214068721770065	0.428137443540131	0.856274887080262	0.407244800589728	0.698741840199711	-0.181118088179881	1.06373177469143	-0.234638144117754	0.520785335810393
"t(32)=2.21"	0.0343779007991334	0.687558015982668	NA	0.171489246303168	NA	0.488940293386305	NA	-0.948296577747976	NA
"t(30)=4.41"	0.000122460834936167	0.00244921669872333	0.00489843339744667	0.978219620068883	0.989631642174884	-2.81363814392703	-2.5829177777711	2.01829295634858	2.31274404869802
"t(47)=4.5"	0.0000445767533288066	0.000891535066576132	0.00178307013315226	0.988062046714932	0.994357636253728	-3.12417064763633	-2.91418891872267	2.25912023810249	2.53375601081192
"t(47)=4"	0.000222806173796997	0.00445612347593993	0.00891224695187987	0.962394173291242	0.982225952120663	-2.61540208807796	-2.3692439167045	1.77917147508362	2.10205913774234
"t(47)=5.03"	0.00000760016037881783	0.000152003207576357	0.000304006415152713	0.996812596259756	0.998493502958235	-3.61186193537868	-3.42801456862133	2.72785266114521	2.96640910410482
"t(47)=3.29"	0.00190401373436133	0.0380802746872266	0.0761605493744533	0.843018038329171	0.925803920638722	-1.77341147233286	-1.43138083241203	1.00693934444782	1.44523403752209
"t(47)=3.33"	0.00169611027722261	0.0339222055444521	0.0678444110889043	0.854145918386601	0.931063410729661	-1.82603884328543	-1.4920393793926	1.0543817741884	1.48375782875209
"t(47)=3.1"	0.00326575232517023	0.0653150465034047	0.130630093006809	0.780103545179723	0.896067964500785	-1.51162183769812	-1.12341758208923	0.772542965654631	1.25946043873314
"t(47)=2.16"	0.0359052197989173	0.718104395978345	NA	0.150618214763	NA	0.577219467071955	NA	-1.03378554754497	NA
"t(47)=3.4"	0.0013831312853998	0.0276626257079959	0.0553252514159919	0.872025262277626	0.939513918062776	-1.91631312360989	-1.59527612176283	1.13601693823074	1.55070596712062
"t(35)=1.72"	0.0942646994029562	NA	NA	NA	NA	NA	NA	NA	NA
"t(35)=3.25"	0.00255222125282839	0.0510444250565678	0.102088850113136	0.81646593091264	0.912877590814357	-1.63481016065712	-1.26973876295971	0.901978783755601	1.35869007524767
"t(35)=1.71"	0.0961184966860806	NA	NA	NA	NA	NA	NA	NA	NA
"t(17)=5.738608964"	0.0000241089648778114	0.000482179297556229	0.000964358595112458	0.995513311347351	0.997831346479655	-3.3007235307843	-3.10099473642198	2.61306675604317	2.85252741936808
"t(17)=0.724684987"	0.47850178350194	NA	NA	NA	NA	NA	NA	NA	NA
